,ProtonNum,NucleonNum,Mass
0,1.0,1,1.007825031898
1,1.0,2,2.014101777844
2,1.0,3,3.01604928132
3,2.0,3,3.01602932197
4,3.0,3,3.030775
5,1.0,4,4.026431867
6,2.0,4,4.00260325413
7,3.0,4,4.027185561
8,1.0,5,5.035311492
9,2.0,5,5.012057224
10,3.0,5,5.0125378
11,4.0,5,5.03987
12,1.0,6,6.044955437
13,2.0,6,6.018885889
14,3.0,6,6.01512288742
15,4.0,6,6.019726409
16,5.0,6,6.0508
17,1.0,7,7.052749
18,2.0,7,7.027990652
19,3.0,7,7.01600343426
20,4.0,7,7.016928714
21,5.0,7,7.029712
22,2.0,8,8.033934388
23,3.0,8,8.022486244
24,4.0,8,8.005305102
25,5.0,8,8.024607315
26,6.0,8,8.037643039
27,2.0,9,9.043946414
28,3.0,9,9.026790191
29,4.0,9,9.012183062
30,5.0,9,9.013329645
31,6.0,9,9.031037202
32,2.0,10,10.052815306
33,3.0,10,10.035483453
34,4.0,10,10.013534692
35,5.0,10,10.012936862
36,6.0,10,10.016853217
37,7.0,10,10.04165354
38,3.0,11,11.043723581
39,4.0,11,11.02166108
40,5.0,11,11.009305166
41,6.0,11,11.011432597
42,7.0,11,11.026157593
43,8.0,11,11.051249828
44,3.0,12,12.052613942
45,4.0,12,12.026922082
46,5.0,12,12.014352638
47,6.0,12,12.0
48,7.0,12,12.01861318
49,8.0,12,12.034367726
50,3.0,13,13.061171503
51,4.0,13,13.036134506
52,5.0,13,13.017779981
53,6.0,13,13.00335483534
54,7.0,13,13.005738609
55,8.0,13,13.024815435
56,9.0,13,13.045121
57,4.0,14,14.04289292
58,5.0,14,14.02540401
59,6.0,14,14.00324198862
60,7.0,14,14.00307400425
61,8.0,14,14.008596706
62,9.0,14,14.034315196
63,4.0,15,15.053490215
64,5.0,15,15.031087023
65,6.0,15,15.010599256
66,7.0,15,15.00010889827
67,8.0,15,15.003065636
68,9.0,15,15.017785139
69,10.0,15,15.043172977
70,4.0,16,16.061672036
71,5.0,16,16.039841045
72,6.0,16,16.014701255
73,7.0,16,16.006101925
74,8.0,16,15.99491461926
75,9.0,16,16.011460278
76,10.0,16,16.02575086
77,5.0,17,17.046931399
78,6.0,17,17.02257865
79,7.0,17,17.008448876
80,8.0,17,16.99913175595
81,9.0,17,17.002095237
82,10.0,17,17.017713962
83,11.0,17,17.037273
84,5.0,18,18.055601683
85,6.0,18,18.02675193
86,7.0,18,18.014077563
87,8.0,18,17.99915961214
88,9.0,18,18.000937324
89,10.0,18,18.005708696
90,11.0,18,18.026879388
91,5.0,19,19.064166
92,6.0,19,19.034797594
93,7.0,19,19.017022389
94,8.0,19,19.003577969
95,9.0,19,18.99840316207
96,10.0,19,19.001880906
97,11.0,19,19.013880264
98,12.0,19,19.03417992
99,5.0,20,20.074505644
100,6.0,20,20.040261732
101,7.0,20,20.023367295
102,8.0,20,20.004075357
103,9.0,20,19.999981252
104,10.0,20,19.99244017525
105,11.0,20,20.007354301
106,12.0,20,20.018763075
107,5.0,21,21.084147485
108,6.0,21,21.049
109,7.0,21,21.027087573
110,8.0,21,21.008654948
111,9.0,21,20.999948893
112,10.0,21,20.993846685
113,11.0,21,20.997654459
114,12.0,21,21.011705764
115,13.0,21,21.029082
116,6.0,22,22.05755399
